City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Cape Town,ZA,69.01,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
1,Hasaki,JP,50.0,few clouds,35.7333,140.8333,Inubosaki Kanko Hotel
2,Airai,TL,62.47,overcast clouds,-8.9266,125.4092,Juvinal Martin
3,Lebu,CL,57.83,clear sky,-37.6167,-73.65,Hostal Las Lilas
4,Lincoln,US,45.0,clear sky,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
5,New Norfolk,AU,73.0,few clouds,-42.7826,147.0587,The Shingles Riverside Cottages
6,Port Elizabeth,ZA,68.0,clear sky,-33.918,25.5701,39 On Nile Guest House
7,Ushuaia,AR,51.8,broken clouds,-54.8,-68.3,Albatros Hotel
8,College,US,-5.8,light snow,64.8569,-147.8028,Pike's Waterfront Lodge
9,Bethel,US,30.2,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
10,Bluff,NZ,56.95,clear sky,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
11,Bengkulu,ID,82.53,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
13,Avarua,CK,84.2,light rain,-21.2078,-159.775,Paradise Inn
14,Butaritari,KI,81.52,light rain,3.0707,172.7902,Isles Sunset Lodge
16,Sitka,US,37.4,light rain,57.0531,-135.33,Westmark Sitka
18,Pangnirtung,CA,-12.48,broken clouds,66.1451,-65.7125,Kilabuk Lodge
19,Plerin,FR,45.0,overcast clouds,48.5425,-2.7798,Hotel Ker Izel
20,Upernavik,GL,-15.52,clear sky,72.7868,-56.1549,Gina's Guesthouse - Upernavik
21,Nayoro,JP,14.45,light snow,44.3506,142.4578,大雪荘
22,Anadyr,RU,-2.2,snow,64.75,177.4833,"Гостиница ""Анадырь"""
23,Klaksvik,FO,32.0,scattered clouds,62.2266,-6.5889999999999995,Airbnb rooms
24,Georgetown,MY,82.4,few clouds,5.4112,100.3354,Cititel Penang
25,Punta Arenas,CL,59.0,clear sky,-53.15,-70.9167,Hotel Dreams Del Estrecho
26,Esperance,AU,64.4,overcast clouds,-33.8667,121.9,Hospitality Esperance
27,Talnakh,RU,-20.4,overcast clouds,69.4865,88.3972,Talnakh Hotel
28,Hobart,AU,73.0,few clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
29,Torbay,CA,48.2,mist,47.6666,-52.7314,Gallows Cove
30,Sibolga,ID,81.91,few clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
31,Hilo,US,78.8,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
32,Busselton,AU,66.99,clear sky,-33.65,115.3333,Observatory Guest House
33,Nome,US,-4.0,clear sky,64.5011,-165.4064,Dredge 7 Inn
34,Bud,US,28.0,clear sky,39.446999999999996,-86.1758,Ted McQuinn Trust
35,Cherskiy,RU,5.7,scattered clouds,68.75,161.3,Gostinitsa
36,Ilulissat,GL,-5.8,clear sky,69.2167,-51.1,Hotel Arctic
38,Haukipudas,FI,14.0,light snow,65.1765,25.3523,Best Western Hotel Samantta
39,Hobyo,SO,75.58,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
40,Saint-Pierre,RE,75.99,clear sky,-21.3393,55.4781,Lindsey Hôtel
41,Satipo,PE,71.29,overcast clouds,-11.2522,-74.6386,Hotel Mayros
42,Yellowknife,CA,-18.0,light snow,62.456,-114.3525,The Explorer Hotel
43,Port Keats,AU,89.06,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
