,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cape Town,ZA,-33.9258,18.4232,69.01,82,20,11.5,few clouds
1,Hasaki,JP,35.7333,140.8333,50.0,43,20,17.27,few clouds
2,Airai,TL,-8.9266,125.4092,62.47,100,100,3.29,overcast clouds
3,Lebu,CL,-37.6167,-73.65,57.83,90,2,13.04,clear sky
4,Lincoln,US,40.8,-96.667,45.0,80,1,7.43,clear sky
5,New Norfolk,AU,-42.7826,147.0587,73.0,64,20,6.91,few clouds
6,Port Elizabeth,ZA,-33.918,25.5701,68.0,88,0,9.22,clear sky
7,Ushuaia,AR,-54.8,-68.3,51.8,62,75,6.91,broken clouds
8,College,US,64.8569,-147.8028,-5.8,71,90,3.44,light snow
9,Bethel,US,41.3712,-73.414,30.2,64,90,8.05,overcast clouds
10,Bluff,NZ,-46.6,168.3333,56.95,61,0,22.66,clear sky
11,Bengkulu,ID,-3.8004,102.2655,82.53,70,85,4.54,overcast clouds
12,Egvekinot,RU,66.3167,-179.1667,-27.06,83,11,18.16,few clouds
13,Avarua,CK,-21.2078,-159.775,84.2,70,20,9.22,light rain
14,Butaritari,KI,3.0707,172.7902,81.52,83,67,15.19,light rain
15,Albany,US,42.6001,-73.9662,28.0,63,66,10.0,broken clouds
16,Sitka,US,57.0531,-135.33,37.4,75,90,4.61,light rain
17,Camacupa,AO,-12.0167,17.4833,59.97,95,100,3.56,overcast clouds
18,Pangnirtung,CA,66.1451,-65.7125,-12.48,77,60,2.64,broken clouds
19,Plerin,FR,48.5425,-2.7798,45.0,98,97,5.01,overcast clouds
20,Upernavik,GL,72.7868,-56.1549,-15.52,70,0,4.85,clear sky
21,Nayoro,JP,44.3506,142.4578,14.45,91,94,12.77,light snow
22,Anadyr,RU,64.75,177.4833,-2.2,78,40,38.03,snow
23,Klaksvik,FO,62.2266,-6.589,32.0,93,40,9.22,scattered clouds
24,Georgetown,MY,5.4112,100.3354,82.4,57,20,6.91,few clouds
25,Punta Arenas,CL,-53.15,-70.9167,59.0,77,0,13.8,clear sky
26,Esperance,AU,-33.8667,121.9,64.4,39,90,19.57,overcast clouds
27,Talnakh,RU,69.4865,88.3972,-20.4,86,98,2.15,overcast clouds
28,Hobart,AU,-42.8794,147.3294,73.0,64,20,6.91,few clouds
29,Torbay,CA,47.6666,-52.7314,48.2,100,90,16.11,mist
30,Sibolga,ID,1.7427,98.7792,81.91,71,14,1.74,few clouds
31,Hilo,US,19.7297,-155.09,78.8,57,75,10.36,broken clouds
32,Busselton,AU,-33.65,115.3333,66.99,52,0,1.99,clear sky
33,Nome,US,64.5011,-165.4064,-4.0,59,1,8.05,clear sky
34,Bud,US,39.447,-86.1758,28.0,80,1,3.44,clear sky
35,Cherskiy,RU,68.75,161.3,5.7,79,44,8.9,scattered clouds
36,Ilulissat,GL,69.2167,-51.1,-5.8,41,7,10.36,clear sky
37,Dikson,RU,73.5069,80.5464,-12.39,91,86,11.43,overcast clouds
38,Haukipudas,FI,65.1765,25.3523,14.0,85,90,8.05,light snow
39,Hobyo,SO,5.3505,48.5268,75.58,81,48,16.69,scattered clouds
40,Saint-Pierre,RE,-21.3393,55.4781,75.99,73,0,4.61,clear sky
41,Satipo,PE,-11.2522,-74.6386,71.29,83,100,2.82,overcast clouds
42,Yellowknife,CA,62.456,-114.3525,-18.0,76,90,9.22,light snow
43,Port Keats,AU,-14.25,129.55,89.06,66,100,8.63,overcast clouds
44,Trinidad,BO,-14.8333,-64.9,75.43,92,60,2.08,broken clouds
45,Wagar,SD,16.1525,36.2032,69.21,70,0,5.61,clear sky
46,Saint-Francois,FR,46.4154,3.9054,39.99,87,0,4.61,clear sky
47,Moyale,KE,3.5167,39.0584,65.98,29,0,6.4,clear sky
48,Arraial Do Cabo,BR,-22.9661,-42.0278,76.64,86,0,22.35,clear sky
49,East London,ZA,-33.0153,27.9116,72.81,84,46,16.62,scattered clouds
50,Khatanga,RU,71.9667,102.5,-17.68,88,13,12.44,few clouds
51,Hamilton,US,39.1834,-84.5333,27.0,86,1,1.34,clear sky
52,Flinders,AU,-34.5833,150.8552,84.0,64,2,5.01,clear sky
53,Saskylakh,RU,71.9167,114.0833,-37.61,78,0,6.67,clear sky
54,Albanel,CA,48.8832,-72.4487,30.2,64,100,11.5,overcast clouds
55,Jamestown,US,42.097,-79.2353,21.99,93,1,10.36,clear sky
56,Boqueirao,BR,-7.5,-36.1333,71.6,94,75,11.5,broken clouds
57,Atuona,PF,-9.8,-139.0333,78.17,71,0,9.66,clear sky
58,Jumla,NP,29.2747,82.1838,32.36,69,0,3.91,clear sky
59,Severomuysk,RU,56.1481,113.4267,-13.97,90,100,3.53,overcast clouds
